variable,lower,upper,distribution,unit,description,remarks,source
n_years,60,60,const,,Number of years over which the effects of the AF intervention will be assessed,,
var_cv,5,10,posnorm,%,Coefficient of variation (ratio of standard deviation to the meanå¤ relative variability),,
discount_rate,1.8,5,posnorm,%,To calculate the present value of future cash flows [%],,
arable_area,14.9744,14.9744,const,ha,Size of the farm [ha],,
AF1_tree_row_area,0.8,0.8,const,ha,Total area of tree rows (wooded area) in the two row SRC AF system [ha],,
AF1_SRC_area,0.6,0.6,const,ha,Area of treed area devoted to SRC [ha],,
harvest_interval_SRC,3,5,posnorm,a,Number of years between SRC harvest,,
AF2_tree_row_area,0.45,0.45,const,ha,Total area of tree rows (wooded area) in the three strip AF system [ha],,
AF1_num_trees,5926,5926,const,U,Number of trees planted in two row SRC AF system ,from Toms email,
AF2_num_trees,180,180,const,U,Number of trees planted in three row AF system ,from Toms email 5m spacing,
AF2_num_shrubs,900,900,const,U,Number of shrubs planted between trees in three row AF system,from Toms email,
water_price,0.00035,5.00E-04,posnorm,å£/l,Cost of irrigation water [å£/l],calculated based on information in FarmingForum 38 to 45 punds per acre per inch,https://thefarmingforum.co.uk/index.php?threads/price-for-irrigating.344776/
farmer_planning_time,100,250,posnorm,h,Time spent discussing goals with consultants + planning AF system + other planning work done by farmer [h],,
planning_consulting,1000,5000,posnorm,å£,Total payment of hired planner/consultant [å£],,
labour_costs,8.6,14,posnorm,å£/h,Cost of labour [å£/h],,https://www.gov.uk/government/publications/the-national-minimum-wage-in-2024
shrub_price,0.2,0.3,posnorm,å£/U,Price per shrub [å£/shrub],includes planting, https://www.crops4energy.co.uk/short-rotation-coppice-src/
tree_price,8,25,posnorm,å£/U,Price per tree [å£/tree],,
AF1_plant_protection,0.84349,1.02216,posnorm,å£/U,Cost of fencing and slip gate for SRC entrance [å£/tree],needs to be integrated into formula to manipulate woody areas,"https://thefarmingforum.co.uk/index.php?threads/fencing-cost.401951/, https://www.moleonline.com/farming/timber-fencing/metal-gates"
AF2_plant_protection,11.39,14.81,posnorm,å£/U,Cost of fencing for three strip option [å£/tree],930m of fencing at 10 to 13 pounds per meter,
weed_protection,0.12,1.4,posnorm,h/ha,Cost of controlling weeds during establishment,value range includes the possibility of having to weed twice in one year,https://www.dlg.org/fileadmin/downloads/Merkblaetter/dlg-merkblatt_372.pdf
SRC_field_prep,2.6,3.8,posnorm,h/ha,cost of subsoiling and harrowing,,https://www.dlg.org/fileadmin/downloads/Merkblaetter/dlg-merkblatt_372.pdf
SRC_planting,4,8,posnorm,h/ha,cost mechanically planting cuttings,,https://www.dlg.org/fileadmin/downloads/Merkblaetter/dlg-merkblatt_372.pdf
SRC_machine_rent,150,300,posnorm,å£,rent for planting machine,,https://www.dlg.org/fileadmin/downloads/Merkblaetter/dlg-merkblatt_372.pdf
SRC_,150,300,posnorm,å£,rent for planting machine,,https://www.dlg.org/fileadmin/downloads/Merkblaetter/dlg-merkblatt_372.pdf
SRC_cutting_price,0.1,0.6,posnorm,å£,price for willow cuttings,,https://www.crops4energy.co.uk/src-cuttings-rods/
tree_planting,0.15,0.25,posnorm,h/U,cost of digging tree well and planting tree,only valid when planting tree saplings not when establishing SRC mechanically,
irrigation_sys_install,1000,3000,posnorm,å£,Cost of buying and installing irrigation system [å£],"need to clarify if any amount of watering is done and which years, unlikely system would be installed",
irrigation_planting_tree,5,10,posnorm,l/U,Water used soon after planting tree [l/tree],"need to clarify if any amount of watering is done and which years, unlikely system would be installed",
irrigation_planting_shrub,1,1.5,posnorm,l/U,Water used soon after planting tree [l/tree],"need to clarify if any amount of watering is done and which years, unlikely system would be installed",
irrigation_123,0.5,1,posnorm,l/U,Water use in the frist three years of tree establishment [l/tree],"need to clarify if any amount of watering is done and which years, unlikely system would be installed",
irrigation_annual,0.5,0.8,posnorm,l/U,Annual water use after the first three years [l/tree],"need to clarify if any amount of watering is done and which years, unlikely system would be installed",
compost_planting_shrub,0.5,1,posnorm,l/U,Compost used at the time of planting [l/tree],,
compost_planting_tree,10,20,posnorm,l/U,Compost used at the time of planting [l/tree],,
compost_price,0.1,0.25,posnorm,å£/l,Price of compost [å£/l],,
winter_wheat_yield,2,8,posnorm,t/ha,Yield of wheat [t/ha],,https://orgprints.org/id/eprint/31232/1/Mind%20the%20gap%20-%20Bulletin%20121%20colour.pdf https://www.fwi.co.uk/arable/northumberland-came-top-world-wheat-map
winter_wheat_management,561.5,1166.5,posnorm,å£/ha,"Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost [å£/ha]","complicated calculation, used savillis source and reduction in fert/pesticide costs as per EU website; then subtracted labour costs from resulting total to determine final cost",https://www.savills.co.uk/research_articles/229130/329236-0 https://ahdb.org.uk/news/how-do-uk-wheat-overhead-costs-stack-up-internationally-grain-market-daily https://agriculture.ec.europa.eu/system/files/2023-04/agri-market-brief-20-organic-farming-eu_en.pdf  
winter_wheat_labour,3.45,6.75,posnorm,h/ha,Labour hours for annual  wheat management [h/ha],,
winter_wheat_value,450,520,posnorm,å£/t,Sale price of wheat per tonne [å£/t],,https://ahdb.org.uk/cereals-oilseeds/uk-delivered-prices
spring_barley_yield,1.5,5.5,posnorm,t/ha,Yield of barley  [t/ha],,https://orgprints.org/id/eprint/31232/1/Mind%20the%20gap%20-%20Bulletin%20121%20colour.pdf
barley_dry_matter_content,0.5,0.9,posnorm,%,Average dry matter content of barley stubble [%],,
spring_barley_management,921.38,1535.63,posnorm,å£/ha,"Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost [å£/ha]",plus minus 25% of source,https://goldcrop.ie/wp-content/uploads/2024/06/Goldcrop-Arable-Seeds-Variety-Catalogue-24.pdf
spring_barley_labour,3.1,6.13,posnorm,h/ha,Labour hours for annual  barley management [h/ha],,
spring_barley_value,350,470,posnorm,å£/t,Sale price of barley per tonne [å£/t],,https://ahdb.org.uk/cereals-oilseeds/uk-delivered-prices
herbal_ley_yield,5,12,posnorm,t/ha,Production of herbal ley (DM) over course of year with cell-grazed browsing [t/ha],from Tom and experts,https://repository.rothamsted.ac.uk/download/1630a35d8a5f5b01bb0e4115977d120e4db2fcfa1b1030e1e8b513e5d4811a08/4012284/Cell%20Grazing%20Technical%20Report%202023_2.pdf
herbal_ley_management,473.7,643.7,posnorm,å£/ha,"Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost (sowing only)  [å£/ha]","assumed all but seeds from wheat costs for now, machine costs minus 150 due to no costs for spraying, harvesting",https://www.cotswoldseeds.com/seeds/17/herbal-leys  https://www.savills.co.uk/research_articles/229130/329236-0
herbal_ley_value,38.25,113.33,posnorm,å£/t,Sale price of one tonne of ley as dried hay [å£/t],took prices from website and added 25% variance on both sides,https://ahdb.org.uk/dairy/hay-and-straw-prices 
herbal_ley_labour,1,3,posnorm,h/ha,Labour hours for annual  ley management (excludes livestock related labour) [h/ha],from Tom and experts,
herbal_grazing_labour,2,5,posnorm,h/ha,Amount of labour to accommodate livestock grazing over the course of the year,,
herbal_effect,1.05,1.1,posnorm,%,"Beneficial effect on subsequent crops due to soil ammending effects of ley (N fixing, soil aggregation, water retention) [%]",,
grazing_efficiency,0.5,0.8,posnorm,%,accounts for trampling selective grazing and areas not consumed,,
daily_dry_matter_intake_cattle,0.01,0.02,posnorm,t/animal,amount of dry matter consumed by cattle daily,,
daily_weight_gain_pasture_cattle,8.00E-04,0.0012,posnorm,t/animal,amount of dry matter consumed by cattle daily,,
cattle_feed_conversion_efficiency,0.1,0.2,posnorm,%,Efficiency of cattle in converting feed to live weight [%],,
cattle_intensity,0.5,0.5,const,%,percentage of grazing granted to cattle versus other livestock,,
daily_dry_matter_intake_sheep,0.001,0.0015,posnorm,t/animal,amount of dry matter consumed by sheep daily,,https://ahdb.org.uk/knowledge-library/grass-allocation-feed-budgeting-wintering-at-grass
daily_weight_gain_pasture_sheep,1.67E-04,0.000375,posnorm,t/animal,amount of dry matter consumed by sheep daily,multiplication between DM intake and feed efficinecy ,
sheep_feed_conversion_efficiency,0.166666666,0.25,posnorm,%,Efficiency of sheep in converting feed to live weight [%],,https://www.researchgate.net/profile/Forbes-Brien/publication/265251808_Relationship_between_body_composition_net_feed_intake_and_gross_feed_conversion_efficiency_in_composite_sire_line_sheep/links/5abb0b510f7e9bad209bc82d/Relationship-between-body-composition-net-feed-intake-and-gross-feed-conversion-efficiency-in-composite-sire-line-sheep.pdf
sheep_intensity,0.5,0.5,const,%,percentage of grazing granted to cattle versus other livestock,,
summer_beans_yield,1.5,4.5,posnorm,,Yield of summer beans [t/ha],,https://www.fwi.co.uk/arable/pulses/farmers-join-forces-to-grow-high-yield-low-cost-spring-beans; https://www.soilassociation.org/media/24292/soil-association-a-new-era-for-organic-cereals-2022-download.pdf
beans_dry_matter_content,0.5,0.9,posnorm,%,Average dry matter content of legume stubble [%],,
summer_beans_management,878.75,1464.59,posnorm,å£/ha,"Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost [å£/ha]",plus minus 25% of source,https://goldcrop.ie/wp-content/uploads/2024/06/Goldcrop-Arable-Seeds-Variety-Catalogue-24.pdf
summer_beans_value,500,600,posnorm,å£/t,Sale price of summer beans [å£/t],,https://www.pgro.org/pulse-market-update-september-october-2020/ https://www.soilassociation.org/farmers-growers/market-information/price-data/arable-price-data/
summer_beans_labour,5.7,8.5,posnorm,h/ha,Labour hours for annual  bean management [h/ha],,
summer_beans_effect,1.02,1.07,posnorm,%,Beneficial effect on subsequent crops due to soil ammending effects of ley (N fixing)  [%],,
winter_oats_yield,1.5,6,posnorm,t/ha,Yield of oats [t/ha],,https://orgprints.org/id/eprint/31232/1/Mind%20the%20gap%20-%20Bulletin%20121%20colour.pdf
oats_dry_matter_content,0.5,0.9,posnorm,%,Average dry matter content of oat stubble  [%],,
winter_oats_management,878.75,1464.59,posnorm,å£/ha,"Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost [å£/ha]",could not find source - used bean metrics,https://goldcrop.ie/wp-content/uploads/2024/06/Goldcrop-Arable-Seeds-Variety-Catalogue-24.pdf
winter_oats_value,300,400,posnorm,å£/ha,Sale price of  oats [å£/t],used price over last ten years plus minus 25%,https://www.gov.uk/government/statistics/agriculture-in-the-united-kingdom-2022/chapter-7-crops
winter_oats_labour,5.7,8.5,posnorm,h/ha,Labour hours for annual  oat management [h/ha],,
winter_cover_crop_yield,3,6,posnorm,t/ha,Production of cover crop in winter months [t/ha],,https://www.landwirtschaftskammer.de/landwirtschaft/ackerbau/pdf/tabellen-zwischenfruechte-futternutzung.pdf
winter_cover_crop_management,61.5,149.5,posnorm,å£/ha,"Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost (sowing only) [å£/ha]","old data, increase by 50%",https://thefarmingforum.co.uk/index.php?threads/true-cost-of-cover-cropping.157888/
winter_cover_crop_dry_matter,0.2,0.25,posnorm,%,Average dry matter content of cover crop mix [%],,
winter_cover_crop_labour,1,3,posnorm,h/ha,Labour associated with establishing and maintaining cover crop [h/ha],,
cover_crop_grazing_labour,1,2.5,posnorm,h/ha,Labour associatd with using cover crop for grazing purposes [h/ha],,
af1_added_management_time_factor,1.05,1.2,posnorm,%,Extra time for managing AF versus conventional  [%],from Tom and experts,
af1_less_grazing_management_time_factor,0.8,0.9,posnorm,%,Reduced livestock management due to AF providing natural partial paddock  [%],from Tom and experts,
af2_added_management_time_factor,1.05,1.2,posnorm,%,Extra time for managing AF versus conventional  [%],from Tom and experts,
af2_less_grazing_management_time_factor,0.8,0.9,posnorm,%,Reduced livestock management due to AF providing natural partial paddock  [%],from Tom and experts,
cv_wheat_yield,5,25,posnorm,%,Coefficient of variation of wheat yields [%],,
cv_wheat_management,11,11,const,%,Coefficient of variation of machine cost for Wheat includes fixed and variable machine cost [%],,
cv_wheat_labour,23.1,23.1,const,%,Coefficient of variation of Labour cost for wheat management [%],,
cv_wheat_value,5,10,posnorm,%,Coefficient of variation selling price of wheat  [%],,
cv_spring_barley_yield,5,25,posnorm,%,Coefficient of variation of barley yields [%],,
cv_spring_barley_management,11,11,const,%,Coefficient of variation of machine cost for barley includes fixed and variable machine cost [%],,
cv_spring_barley_labour,23.1,23.1,const,%,Coefficient of variation of Labour cost for barley management [%],,
cv_spring_barley_value,5,10,posnorm,%,Coefficient of variation of selling price of barley  [%],,
cv_herbal_ley_yield,5,25,posnorm,%,Coefficient of variation of herbal ley yields [%],,
cv_herbal_ley_management,11,11,const,%,Coefficient of variation of machine cost for herbal ley includes fixed and variable machine cost [%],,
