variable,lower,upper,distribution,unit,description,remarks,source
water_price_p,0.00035,0.0005,posnorm,£/l,Cost of irrigation water [£/l],calculated based on information in FarmingForum 38 to 45 punds per acre per inch,https://thefarmingforum.co.uk/index.php?threads/price-for-irrigating.344776/
labour_costs_p,8.6,14,posnorm,£/h,Cost of labour [£/h],,https://www.gov.uk/government/publications/the-national-minimum-wage-in-2024
winter_wheat_management_p,561.5,1166.5,posnorm,£/ha,"Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost [£/ha]","complicated calculation, used savillis source and reduction in fert/pesticide costs as per EU website; then subtracted labour costs from resulting total to determine final cost",https://www.savills.co.uk/research_articles/229130/329236-0 https://ahdb.org.uk/news/how-do-uk-wheat-overhead-costs-stack-up-internationally-grain-market-daily https://agriculture.ec.europa.eu/system/files/2023-04/agri-market-brief-20-organic-farming-eu_en.pdf  
winter_wheat_labour_p,3.45,6.75,posnorm,h/ha,Labour hours for annual  wheat management [h/ha],,
spring_barley_management_p,921.38,1535.63,posnorm,£/ha,"Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost [£/ha]",plus minus 25% of source,https://goldcrop.ie/wp-content/uploads/2024/06/Goldcrop-Arable-Seeds-Variety-Catalogue-24.pdf
spring_barley_labour_p,3.1,6.13,posnorm,h/ha,Labour hours for annual  barley management [h/ha],,
herbal_ley_management_p,473.7,643.7,posnorm,£/ha,"Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost (sowing only)  [£/ha]","assumed all but seeds from wheat costs for now, machine costs minus 150 due to no costs for spraying, harvesting",https://www.cotswoldseeds.com/seeds/17/herbal-leys  https://www.savills.co.uk/research_articles/229130/329236-0
herbal_ley_labour_p,1,3,posnorm,h/ha,Labour hours for annual  ley management (excludes livestock related labour) [h/ha],from Tom and experts,
herbal_effect_p,1.05,1.1,posnorm,%,"Beneficial effect on subsequent crops due to soil ammending effects of ley (N fixing, soil aggregation, water retention) [%]",,
summer_beans_management_p,878.75,1464.59,posnorm,£/ha,"Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost [£/ha]",plus minus 25% of source,https://goldcrop.ie/wp-content/uploads/2024/06/Goldcrop-Arable-Seeds-Variety-Catalogue-24.pdf
summer_beans_labour_p,5.7,8.5,posnorm,h/ha,Labour hours for annual  bean management [h/ha],,
summer_beans_effect_p,1.02,1.07,posnorm,%,Beneficial effect on subsequent crops due to soil ammending effects of ley (N fixing)  [%],,
winter_oats_management_p,878.75,1464.59,posnorm,£/ha,"Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost [£/ha]",could not find source - used bean metrics,https://goldcrop.ie/wp-content/uploads/2024/06/Goldcrop-Arable-Seeds-Variety-Catalogue-24.pdf
winter_oats_labour_p,5.7,8.5,posnorm,h/ha,Labour hours for annual  oat management [h/ha],,
winter_cover_crop_management_p,61.5,149.5,posnorm,£/ha,"Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost (sowing only) [£/ha]","old data, increase by 50%",https://thefarmingforum.co.uk/index.php?threads/true-cost-of-cover-cropping.157888/
winter_cover_crop_dry_matter_p,0.2,0.25,posnorm,%,Average dry matter content of cover crop mix [%],,
winter_cover_crop_labour_p,1,3,posnorm,h/ha,Labour associated with establishing and maintaining cover crop [h/ha],,
cover_crop_grazing_labour_p,1,2.5,posnorm,h/ha,Labour associatd with using cover crop for grazing purposes [h/ha],,
daily_dry_matter_intake_cattle_p,0.01,0.02,posnorm,t/animal,amount of dry matter consumed by cattle daily,,
daily_weight_gain_pasture_cattle_p,0.0008,0.0012,posnorm,t/animal,amount of dry matter consumed by cattle daily,,
rowan_yield_first_p,4,5,posnorm,%,percentage of expected max. harvest in first year of harvest,https://www.lwf.bayern.de/mam/cms04/wissenstransfer/dateien/w17_die_vogelbeere-ein_obstbaum.pdf,
rowan_yield_second_p,30,80,posnorm,%,percentage of expected max. harvest in second yield/development stage,https://www.lwf.bayern.de/mam/cms04/wissenstransfer/dateien/w17_die_vogelbeere-ein_obstbaum.pdf,
time_to_first_rowan_c,3,3,const,a,years to first harvest,"https://www.lwf.bayern.de/mam/cms04/wissenstransfer/dateien/w17_die_vogelbeere-ein_obstbaum.pdf , F. Ganswind (2024) ",
