"variable","lower","upper","distribution"
"discount_rate_p",1.8,5,"posnorm"
"var_CV_p",5,10,"posnorm"
"subsidy_application_p",10,40,"posnorm"
"tree_planting_p",10,50,"posnorm"
"farmer_planning_time_p",10,40,"posnorm"
"planning_consulting_p",50,1000,"posnorm"
"weed_protection_p",15,25,"posnorm"
"AF1_plant_protection_p",0.843,1.022,"posnorm"
"SRC_cutting_price_p",0.1,0.6,"posnorm"
"SRC_field_prep_p",2.6,3.8,"posnorm"
"SRC_planting_p",4,8,"posnorm"
"SRC_machine_rent_p",150,300,"posnorm"
"harvest_interval_SRC_p",3,5,"posnorm"
"af1_added_management_time_factor_p",1.05,1.2,"posnorm"
"AF1_soil_loss_water_p",2,4,"posnorm"
"AF1_soil_loss_wind_p",2,4,"posnorm"
"af1_less_grazing_management_time_factor_p",0.8,0.9,"posnorm"
"AF1_woody_benefit_windreduc_p",0.01,0.02,"posnorm"
"oak_tree_cost_p",1.77,3.49,"posnorm"
"birch_tree_cost_p",1.77,2.19,"posnorm"
"rowan_tree_cost_p",1.77,2.49,"posnorm"
"hazel_tree_cost_p",1.77,2.6,"posnorm"
"damson_tree_cost_p",15,21.6,"posnorm"
"bcherry_tree_cost_p",1.77,1.99,"posnorm"
"shrub_price_p",0.2,0.3,"posnorm"
"AF2_plant_protection_p",11.39,14.81,"posnorm"
"af2_added_management_time_factor_p",1.05,1.2,"posnorm"
"AF2_soil_loss_water_p",2,4,"posnorm"
"AF2_soil_loss_wind_p",2,4,"posnorm"
"af2_less_grazing_management_time_factor_p",0.8,0.9,"posnorm"
"AF2_woody_benefit_windreduc_p",0.03,0.055,"posnorm"
"winter_wheat_yield_p",2,8,"posnorm"
"winter_wheat_value_p",450,520,"posnorm"
"spring_barley_yield_p",1.5,5.5,"posnorm"
"spring_barley_value_p",350,470,"posnorm"
"herbal_ley_yield_p",5,12,"posnorm"
"herbal_ley_value_p",5,10,"posnorm"
"summer_beans_yield_p",1.5,4.5,"posnorm"
"summer_beans_value_p",500,600,"posnorm"
"winter_oats_yield_p",1.5,6,"posnorm"
